M,Only host,Only host + svm,svm + gpu,only gpu
145,8.890625,10.482422,1.949219,0.855469
146,9.017578,10.914063,1.595703,0.871094
147,10.308594,11.236328,2.230469,1.162109
148,9.482422,11.369141,2.087891,1.072266
149,10.472656,11.341797,2.216797,1.087891
150,10.003906,12.474609,1.597656,0.859375
151,10.193359,11.714844,1.523438,0.867188
152,10.421875,11.761719,1.685547,0.941406
153,10.755859,12.644531,1.880859,0.916016
154,10.912109,12.306641,1.591797,0.875000
155,11.000000,12.308594,2.048828,0.992188
156,10.808594,12.693359,1.826172,0.988281
157,11.224609,12.654297,1.644531,0.908203
158,11.382813,12.904297,1.966797,0.869141
159,11.509766,12.935547,1.654297,1.013672
160,13.335938,14.240234,1.666016,0.890625
161,12.005859,13.455078,1.500000,0.939453
162,12.246094,13.787109,1.931641,1.035156
163,12.580078,14.035156,1.673828,1.023438
164,12.722656,14.195313,1.732422,0.927734
165,13.615234,14.861328,1.847656,0.976563
166,13.238281,15.083984,2.365234,1.208984
167,13.488281,15.048828,1.876953,1.060547
168,13.533203,15.462891,2.535156,1.240234
169,14.107422,15.884766,2.087891,1.074219
170,15.113281,15.830078,2.003906,1.033203
171,15.541016,16.947266,1.976563,1.156250
172,14.529297,16.136719,2.375000,1.031250
173,14.873047,16.923828,1.675781,0.994141
174,15.193359,16.740234,1.898438,0.970703
175,15.361328,17.218750,1.966797,1.048828
176,15.761719,17.726563,2.539063,1.332031
177,16.474609,17.714844,2.050781,1.150391
178,16.712891,17.962891,2.167969,1.064453
179,16.921875,17.888672,2.138672,1.167969
180,16.876953,18.251953,2.046875,1.132813
181,17.146484,18.546875,1.929688,1.167969
182,17.765625,19.080078,2.539063,1.332031
183,18.167969,19.574219,2.373047,1.234375
184,17.765625,20.078125,2.660156,1.255859
185,19.394531,20.687500,3.396484,1.539063
186,19.097656,20.791016,2.912109,1.447266
187,19.625000,21.099609,2.427734,1.488281
188,19.964844,21.304688,1.964844,1.244141
189,21.412109,21.955078,2.468750,1.318359
190,21.222656,22.470703,2.085938,1.142578
191,21.591797,23.359375,1.994141,1.222656
192,22.919922,25.230469,2.275391,1.314453
193,22.406250,24.289063,2.177734,1.220703
194,22.687500,24.755859,2.150391,1.298828
195,24.679688,26.457031,2.330078,1.107422
196,23.550781,24.892578,2.033203,1.240234
