M,Only host,Only host + svm,svm + gpu,only gpu
145,0.000000,0.000000,1.744141,0.912109
146,0.000000,0.000000,1.332031,0.835938
147,0.000000,0.000000,1.298828,0.812500
148,0.000000,0.000000,1.285156,0.794922
149,0.000000,0.000000,1.322266,0.828125
150,0.000000,0.000000,1.816406,0.886719
151,0.000000,0.000000,1.535156,1.101563
152,0.000000,0.000000,1.662109,0.894531
153,0.000000,0.000000,1.339844,0.855469
154,0.000000,0.000000,1.273438,0.826172
155,0.000000,0.000000,1.761719,0.871094
156,0.000000,0.000000,1.421875,0.884766
157,0.000000,0.000000,1.806641,0.941406
158,0.000000,0.000000,1.462891,0.890625
159,0.000000,0.000000,1.375000,0.884766
160,0.000000,0.000000,1.408203,0.818359
161,0.000000,0.000000,1.378906,0.871094
162,0.000000,0.000000,1.408203,0.941406
163,0.000000,0.000000,1.402344,1.119141
164,0.000000,0.000000,2.414063,1.109375
165,0.000000,0.000000,1.439453,0.929688
166,0.000000,0.000000,1.503906,1.021484
167,0.000000,0.000000,1.371094,0.888672
168,0.000000,0.000000,1.566406,0.923828
169,0.000000,0.000000,1.460938,1.177734
170,0.000000,0.000000,1.775391,0.960938
171,0.000000,0.000000,1.437500,0.935547
172,0.000000,0.000000,1.550781,1.080078
173,0.000000,0.000000,1.441406,0.916016
174,0.000000,0.000000,1.423828,0.978516
175,0.000000,0.000000,1.515625,1.125000
176,0.000000,0.000000,1.923828,1.132813
177,0.000000,0.000000,1.603516,1.041016
178,0.000000,0.000000,1.685547,1.029297
179,0.000000,0.000000,1.558594,1.144531
180,0.000000,0.000000,1.880859,1.302734
181,0.000000,0.000000,1.835938,1.195313
182,0.000000,0.000000,1.636719,1.103516
183,0.000000,0.000000,1.726563,1.173828
184,0.000000,0.000000,1.630859,1.093750
185,0.000000,0.000000,1.636719,1.115234
186,0.000000,0.000000,2.039063,1.171875
187,0.000000,0.000000,1.753906,1.158203
188,0.000000,0.000000,1.625000,1.187500
189,0.000000,0.000000,1.708984,1.238281
190,0.000000,0.000000,1.652344,1.169922
191,0.000000,0.000000,1.767578,1.449219
192,0.000000,0.000000,1.664063,1.160156
193,0.000000,0.000000,1.888672,1.343750
194,0.000000,0.000000,2.117188,1.257813
195,0.000000,0.000000,1.662109,1.185547
196,0.000000,0.000000,1.742188,1.271484
197,0.000000,0.000000,1.783203,1.289063
198,0.000000,0.000000,1.900391,1.830078
199,0.000000,0.000000,3.000000,1.341797
200,0.000000,0.000000,1.738281,1.212891
201,0.000000,0.000000,1.763672,1.255859
202,0.000000,0.000000,1.769531,1.289063
203,0.000000,0.000000,3.013672,2.255859
204,0.000000,0.000000,2.152344,1.302734
205,0.000000,0.000000,1.841797,1.291016
206,0.000000,0.000000,1.814453,1.345703
207,0.000000,0.000000,1.964844,1.785156
208,0.000000,0.000000,3.498047,1.371094
209,0.000000,0.000000,1.896484,1.404297
210,0.000000,0.000000,1.988281,1.279297
211,0.000000,0.000000,2.029297,1.533203
212,0.000000,0.000000,2.662109,2.416016
213,0.000000,0.000000,2.896484,1.644531
214,0.000000,0.000000,2.039063,1.398438
215,0.000000,0.000000,2.240234,2.076172
216,0.000000,0.000000,3.408203,2.587891
217,0.000000,0.000000,2.826172,1.546875
218,0.000000,0.000000,2.162109,1.728516
219,0.000000,0.000000,4.078125,2.533203
220,0.000000,0.000000,2.277344,1.423828
221,0.000000,0.000000,1.953125,1.476563
222,0.000000,0.000000,2.574219,2.537109
223,0.000000,0.000000,4.042969,1.898438
224,0.000000,0.000000,1.857422,1.355469
225,0.000000,0.000000,2.349609,1.814453
226,0.000000,0.000000,3.343750,1.941406
227,0.000000,0.000000,2.390625,1.455078
228,0.000000,0.000000,2.031250,1.519531
229,0.000000,0.000000,2.125000,1.615234
230,0.000000,0.000000,3.367188,2.273438
231,0.000000,0.000000,2.070313,1.572266
232,0.000000,0.000000,2.072266,2.101563
233,0.000000,0.000000,2.218750,1.794922
234,0.000000,0.000000,3.509766,1.591797
235,0.000000,0.000000,2.115234,1.570313
236,0.000000,0.000000,2.007813,1.740234
237,0.000000,0.000000,2.195313,1.853516
238,0.000000,0.000000,2.064453,1.644531
239,0.000000,0.000000,2.142578,1.613281
240,0.000000,0.000000,2.466797,1.767578
241,0.000000,0.000000,2.236328,1.789063
242,0.000000,0.000000,2.585938,1.583984
