M,Only host,Only host + svm,svm + gpu,only gpu
145,0.000000,0.000000,1.292969,1.029297
146,0.000000,0.000000,0.933594,1.175781
147,0.000000,0.000000,1.128906,1.017578
148,0.000000,0.000000,1.037109,0.990234
149,0.000000,0.000000,1.068359,0.982422
150,0.000000,0.000000,1.160156,1.125000
151,0.000000,0.000000,2.214844,1.384766
152,0.000000,0.000000,1.246094,1.126953
153,0.000000,0.000000,1.027344,1.062500
154,0.000000,0.000000,1.564453,1.039063
155,0.000000,0.000000,1.103516,1.087891
156,0.000000,0.000000,1.126953,1.066406
157,0.000000,0.000000,1.105469,1.000000
158,0.000000,0.000000,1.201172,1.001953
159,0.000000,0.000000,0.955078,1.107422
160,0.000000,0.000000,1.126953,1.013672
161,0.000000,0.000000,1.474609,1.113281
162,0.000000,0.000000,0.966797,1.070313
163,0.000000,0.000000,1.224609,1.044922
164,0.000000,0.000000,1.484375,1.265625
165,0.000000,0.000000,1.044922,1.787109
166,0.000000,0.000000,1.390625,1.068359
167,0.000000,0.000000,1.164063,1.138672
168,0.000000,0.000000,1.345703,1.591797
169,0.000000,0.000000,1.125000,1.183594
170,0.000000,0.000000,1.210938,1.054688
171,0.000000,0.000000,1.177734,1.417969
172,0.000000,0.000000,1.183594,1.154297
173,0.000000,0.000000,1.398438,1.099609
174,0.000000,0.000000,1.277344,1.195313
175,0.000000,0.000000,1.291016,1.412109
176,0.000000,0.000000,1.236328,1.371094
177,0.000000,0.000000,1.318359,1.181641
178,0.000000,0.000000,1.224609,1.347656
179,0.000000,0.000000,1.994141,1.388672
180,0.000000,0.000000,1.275391,1.134766
181,0.000000,0.000000,1.419922,1.203125
182,0.000000,0.000000,1.625000,1.236328
183,0.000000,0.000000,1.232422,2.542969
184,0.000000,0.000000,1.660156,1.236328
185,0.000000,0.000000,1.554688,1.248047
186,0.000000,0.000000,1.726563,1.439453
187,0.000000,0.000000,1.333984,1.289063
188,0.000000,0.000000,1.351563,1.488281
189,0.000000,0.000000,1.732422,1.208984
190,0.000000,0.000000,1.269531,1.197266
191,0.000000,0.000000,1.673828,1.464844
192,0.000000,0.000000,1.294922,1.207031
193,0.000000,0.000000,1.189453,1.224609
194,0.000000,0.000000,1.957031,2.000000
195,0.000000,0.000000,1.898438,1.503906
196,0.000000,0.000000,2.328125,1.431641
197,0.000000,0.000000,1.281250,1.316406
198,0.000000,0.000000,1.505859,1.494141
199,0.000000,0.000000,1.472656,1.310547
200,0.000000,0.000000,1.376953,1.453125
201,0.000000,0.000000,1.302734,1.353516
202,0.000000,0.000000,1.291016,1.345703
203,0.000000,0.000000,1.675781,1.330078
204,0.000000,0.000000,1.380859,1.457031
205,0.000000,0.000000,1.306641,1.642578
206,0.000000,0.000000,1.371094,1.421875
207,0.000000,0.000000,1.332031,1.367188
208,0.000000,0.000000,1.609375,1.601563
209,0.000000,0.000000,1.410156,1.416016
210,0.000000,0.000000,1.492188,1.468750
211,0.000000,0.000000,1.488281,1.507813
212,0.000000,0.000000,1.552734,1.509766
213,0.000000,0.000000,1.695313,1.617188
214,0.000000,0.000000,1.767578,1.615234
215,0.000000,0.000000,1.730469,2.291016
216,0.000000,0.000000,2.148438,1.787109
217,0.000000,0.000000,2.724609,1.769531
218,0.000000,0.000000,1.900391,1.867188
219,0.000000,0.000000,1.937500,1.675781
220,0.000000,0.000000,2.279297,1.806641
221,0.000000,0.000000,1.917969,1.734375
222,0.000000,0.000000,2.771484,1.970703
223,0.000000,0.000000,1.679688,2.572266
224,0.000000,0.000000,1.914063,2.099609
225,0.000000,0.000000,1.812500,2.216797
226,0.000000,0.000000,1.775391,2.140625
227,0.000000,0.000000,1.677734,1.955078
228,0.000000,0.000000,1.824219,1.845703
229,0.000000,0.000000,1.789063,1.828125
230,0.000000,0.000000,1.957031,1.960938
231,0.000000,0.000000,1.740234,1.767578
232,0.000000,0.000000,2.009766,2.044922
233,0.000000,0.000000,1.839844,1.923828
234,0.000000,0.000000,2.023438,2.089844
235,0.000000,0.000000,1.943359,3.058594
236,0.000000,0.000000,2.480469,1.970703
237,0.000000,0.000000,3.107422,1.982422
238,0.000000,0.000000,2.017578,2.000000
239,0.000000,0.000000,2.460938,2.826172
240,0.000000,0.000000,2.095703,3.263672
241,0.000000,0.000000,1.941406,1.982422
242,0.000000,0.000000,2.083984,2.294922
243,0.000000,0.000000,2.564453,2.009766
244,0.000000,0.000000,2.634766,3.654297
245,0.000000,0.000000,2.294922,2.501953
246,0.000000,0.000000,2.277344,2.257813
247,0.000000,0.000000,2.328125,2.289063
248,0.000000,0.000000,3.085938,2.335938
249,0.000000,0.000000,2.083984,2.128906
250,0.000000,0.000000,2.355469,2.179688
251,0.000000,0.000000,2.134766,2.136719
252,0.000000,0.000000,2.316406,2.265625
253,0.000000,0.000000,2.142578,2.382813
254,0.000000,0.000000,2.267578,2.201172
255,0.000000,0.000000,2.201172,2.291016
256,0.000000,0.000000,2.394531,2.498047
257,0.000000,0.000000,2.689453,2.353516
258,0.000000,0.000000,2.308594,2.474609
259,0.000000,0.000000,2.687500,2.333984
260,0.000000,0.000000,3.515625,2.578125
261,0.000000,0.000000,2.314453,2.654297
262,0.000000,0.000000,2.902344,2.326172
263,0.000000,0.000000,3.289063,2.398438
264,0.000000,0.000000,2.560547,2.734375
265,0.000000,0.000000,2.574219,2.958984
266,0.000000,0.000000,3.781250,2.861328
267,0.000000,0.000000,3.544922,2.699219
268,0.000000,0.000000,3.601563,2.859375
269,0.000000,0.000000,3.023438,2.724609
270,0.000000,0.000000,3.435547,2.671875
271,0.000000,0.000000,2.828125,2.816406
272,0.000000,0.000000,2.740234,3.337891
273,0.000000,0.000000,3.113281,2.621094
274,0.000000,0.000000,2.619141,2.855469
275,0.000000,0.000000,2.658203,2.705078
276,0.000000,0.000000,3.101563,2.763672
277,0.000000,0.000000,2.986328,3.158203
278,0.000000,0.000000,3.068359,3.695313
279,0.000000,0.000000,2.851563,3.271484
280,0.000000,0.000000,3.224609,3.042969
281,0.000000,0.000000,5.697266,2.873047
282,0.000000,0.000000,3.283203,3.191406
283,0.000000,0.000000,2.875000,3.195313
284,0.000000,0.000000,3.033203,3.449219
285,0.000000,0.000000,3.642578,3.201172
286,0.000000,0.000000,3.289063,3.064453
287,0.000000,0.000000,3.058594,3.056641
288,0.000000,0.000000,3.515625,3.218750
289,0.000000,0.000000,2.990234,3.244141
290,0.000000,0.000000,3.240234,3.054688
291,0.000000,0.000000,3.050781,3.757813
292,0.000000,0.000000,3.240234,3.140625
293,0.000000,0.000000,3.169922,3.021484
294,0.000000,0.000000,3.220703,3.242188
295,0.000000,0.000000,3.482422,3.373047
296,0.000000,0.000000,4.083984,3.560547
297,0.000000,0.000000,3.580078,3.488281
298,0.000000,0.000000,3.636719,3.597656
299,0.000000,0.000000,4.910156,3.951172
300,0.000000,0.000000,3.900391,4.433594
301,0.000000,0.000000,4.250000,3.455078
302,0.000000,0.000000,4.306641,4.640625
303,0.000000,0.000000,3.775391,3.607422
304,0.000000,0.000000,4.035156,4.601563
305,0.000000,0.000000,3.562500,3.644531
306,0.000000,0.000000,3.552734,3.693359
307,0.000000,0.000000,3.472656,3.492188
308,0.000000,0.000000,3.968750,3.791016
309,0.000000,0.000000,3.644531,4.654297
310,0.000000,0.000000,3.875000,5.943359
311,0.000000,0.000000,3.753906,5.394531
312,0.000000,0.000000,4.199219,5.136719
313,0.000000,0.000000,4.150391,5.275391
314,0.000000,0.000000,4.353516,4.472656
315,0.000000,0.000000,4.431641,4.021484
316,0.000000,0.000000,4.882813,3.998047
317,0.000000,0.000000,4.095703,3.740234
318,0.000000,0.000000,3.787109,3.873047
319,0.000000,0.000000,3.751953,3.822266
320,0.000000,0.000000,3.943359,4.843750
321,0.000000,0.000000,4.148438,4.416016
322,0.000000,0.000000,4.175781,4.609375
323,0.000000,0.000000,5.583984,4.212891
324,0.000000,0.000000,7.384766,4.935547
325,0.000000,0.000000,4.703125,4.111328
326,0.000000,0.000000,5.433594,4.130859
327,0.000000,0.000000,4.402344,4.626953
328,0.000000,0.000000,4.390625,4.402344
329,0.000000,0.000000,4.386719,5.148438
330,0.000000,0.000000,4.609375,4.341797
331,0.000000,0.000000,4.623047,4.361328
332,0.000000,0.000000,4.462891,4.484375
333,0.000000,0.000000,4.675781,4.746094
334,0.000000,0.000000,4.818359,4.490234
335,0.000000,0.000000,5.445313,5.132813
336,0.000000,0.000000,6.880859,7.539063
337,0.000000,0.000000,4.794922,4.804688
338,0.000000,0.000000,4.785156,5.523438
339,0.000000,0.000000,6.308594,4.664063
340,0.000000,0.000000,8.273438,5.570313
341,0.000000,0.000000,4.919922,5.300781
342,0.000000,0.000000,5.070313,4.943359
343,0.000000,0.000000,4.916016,6.125000
344,0.000000,0.000000,5.353516,5.320313
345,0.000000,0.000000,5.486328,4.951172
346,0.000000,0.000000,5.203125,5.052734
347,0.000000,0.000000,5.230469,4.988281
348,0.000000,0.000000,6.412109,5.111328
349,0.000000,0.000000,5.232422,5.375000
350,0.000000,0.000000,5.699219,6.335938
351,0.000000,0.000000,6.378906,5.126953
352,0.000000,0.000000,6.320313,5.626953
353,0.000000,0.000000,5.185547,5.160156
354,0.000000,0.000000,5.199219,5.251953
355,0.000000,0.000000,5.423828,5.298828
356,0.000000,0.000000,6.357422,5.658203
357,0.000000,0.000000,5.503906,6.234375
358,0.000000,0.000000,5.699219,5.830078
359,0.000000,0.000000,6.017578,5.517578
360,0.000000,0.000000,8.275391,5.750000
361,0.000000,0.000000,5.398438,6.595703
362,0.000000,0.000000,5.568359,5.820313
363,0.000000,0.000000,5.572266,5.541016
364,0.000000,0.000000,6.099609,5.585938
365,0.000000,0.000000,5.750000,6.472656
366,0.000000,0.000000,6.085938,6.308594
367,0.000000,0.000000,6.398438,6.474609
368,0.000000,0.000000,7.976563,6.353516
